name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson8 Jun 2024Glooscap First Nation to become majority owner of two shipyards in Nova Scotiaaptnnews.ca/national-news/mi…#Indigenomics1,Don Richardson@Don_Richardson8 Jun 2024,Glooscap First Nation to become majority owner of two shipyards in Nova Scotiaaptnnews.ca/national-news/mi…#Indigenomics,8 Jun 2024,1,,
Co-operatives First,@Coops_First,,Co-operatives First@Coops_First5 Jun 2024Trista had great conversations at the Indigenomics by Design conference - with folks like Melissa and Jasmine from Innovation Credit Union - about how co-ops can contribute to the Indigenous economy.#Indigenomics1,Co-operatives First@Coops_First5 Jun 2024,Trista had great conversations at the Indigenomics by Design conference - with folks like Melissa and Jasmine from Innovation Credit Union - about how co-ops can contribute to the Indigenous economy.#Indigenomics,5 Jun 2024,1,,
Another 13 Moon Woman,@enrichedbycode,,Another 13 Moon Woman@enrichedbycode4 Jun 2024@Hesquiahtsuch an honour to meet you last night and to hear your voice Big Sister! Looking forward to today’s sessions and contributing to a better future for First Peoples#Indigenomicsone love. Blessed love ❤️ More love 💕,Another 13 Moon Woman@enrichedbycode4 Jun 2024,@Hesquiahtsuch an honour to meet you last night and to hear your voice Big Sister! Looking forward to today’s sessions and contributing to a better future for First Peoples#Indigenomicsone love. Blessed love ❤️ More love 💕,4 Jun 2024,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson4 Jun 2024‘Building towards abundance’: How Indigenous-owned Clearwater Seafoods is reshaping Canada’s seafood industry - The Mi’kmaq Coalition’s 50% acquisition of Clearwater Seafoods offers a ‘model for Canadian seafood’ and economic reconciliationglobalseafood.org/advocate/b…#Indigenomics,Don Richardson@Don_Richardson4 Jun 2024,‘Building towards abundance’: How Indigenous-owned Clearwater Seafoods is reshaping Canada’s seafood industry - The Mi’kmaq Coalition’s 50% acquisition of Clearwater Seafoods offers a ‘model for Canadian seafood’ and economic reconciliationglobalseafood.org/advocate/b…#Indigenomics,4 Jun 2024,,,
GL Guevarra (He/Him),@GLGuevarra,,GL Guevarra (He/Him)@GLGuevarra3 Jun 2024@IRPP. Really great start to enhance the#Indigenomicsmovement across Canada. Moderated by a good friend@Steve_Lafleurmy takeaway from this? coming soon!#wpgpoli#mbpoli@adriensala2,GL Guevarra (He/Him)@GLGuevarra3 Jun 2024,@IRPP. Really great start to enhance the#Indigenomicsmovement across Canada. Moderated by a good friend@Steve_Lafleurmy takeaway from this? coming soon!#wpgpoli#mbpoli@adriensala,3 Jun 2024,2,,
Another 13 Moon Woman,@enrichedbycode,,Another 13 Moon Woman@enrichedbycode3 Jun 2024#indigenomics,Another 13 Moon Woman@enrichedbycode3 Jun 2024,#indigenomics,3 Jun 2024,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson30 May 2024Currently reading: Survey of Indigenous Firms: A Snapshot of Wages, Prices and Financing in the Indigenous Business Sector in Canada -@bankofcanadabankofcanada.ca/2024/05/staf…#Indigenomics",Don Richardson@Don_Richardson30 May 2024,"Currently reading: Survey of Indigenous Firms: A Snapshot of Wages, Prices and Financing in the Indigenous Business Sector in Canada -@bankofcanadabankofcanada.ca/2024/05/staf…#Indigenomics",30 May 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht29 May 2024Are you a leader, innovator, or visionary in the Indigenous economic space? We invite you to share your insights and expertise at the inaugural  Indigenomics NOW Forum 2024! 

Please complete this form to be considered as a speakerlnkd.in/gHJsgpFj#Indigenomics112","Carol Anne Hilton, MBA@Hesquiaht29 May 2024","Are you a leader, innovator, or visionary in the Indigenous economic space? We invite you to share your insights and expertise at the inaugural  Indigenomics NOW Forum 2024! 

Please complete this form to be considered as a speakerlnkd.in/gHJsgpFj#Indigenomics",29 May 2024,112,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht28 May 2024What insights can we gain from seeing wealth from another worldview? Come find out at the Indigenomics Design- Indigenous Wealth Dynamics Conference this June 4th in Saskatoon! 
Registration closes tomorrow, Wednesday May 29th. Register now!events.indigenomicsinstitute…#Indigenomics13","Carol Anne Hilton, MBA@Hesquiaht28 May 2024","What insights can we gain from seeing wealth from another worldview? Come find out at the Indigenomics Design- Indigenous Wealth Dynamics Conference this June 4th in Saskatoon! 
Registration closes tomorrow, Wednesday May 29th. Register now!events.indigenomicsinstitute…#Indigenomics",28 May 2024,13,,
Supply Chain Manitoba,@supplychainmb,,"Supply Chain Manitoba@supplychainmb14 May 2024🌟 Thrilled to have kicked off the First Economic Development Conference with Sagkeeng First Nation, led by Hon. Minister Ian Bushi. Big thanks to AMIK Inc. for the invite! Great connecting with partners like@mbaerospace&@TradeUpMB.#Indigenomics#EconomicGrowth🌟2",Supply Chain Manitoba@supplychainmb14 May 2024,"🌟 Thrilled to have kicked off the First Economic Development Conference with Sagkeeng First Nation, led by Hon. Minister Ian Bushi. Big thanks to AMIK Inc. for the invite! Great connecting with partners like@mbaerospace&@TradeUpMB.#Indigenomics#EconomicGrowth🌟",14 May 2024,2,,
Fulbright Canada,@FulbrightCanada,,"Fulbright Canada@FulbrightCanada14 May 2024Early Bird Notice! 🌅🐦  Our friends at the Global Centre of Indigenomics are seeking Indigenous speakers from around the world for the inaugural Indigenomics NOW forum on November 14, 2024. 
Learn more about it at -->globalcentreofindigenomics.c…#indigenomics11",Fulbright Canada@FulbrightCanada14 May 2024,"Early Bird Notice! 🌅🐦  Our friends at the Global Centre of Indigenomics are seeking Indigenous speakers from around the world for the inaugural Indigenomics NOW forum on November 14, 2024. 
Learn more about it at -->globalcentreofindigenomics.c…#indigenomics",14 May 2024,11,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson10 May 2024Nine of the 10 battery projects announced Thursday in Ontario have 50% or greater Indigenous ownershipthestar.com/news/ontario/for…#Indigenomics2,Don Richardson@Don_Richardson10 May 2024,Nine of the 10 battery projects announced Thursday in Ontario have 50% or greater Indigenous ownershipthestar.com/news/ontario/for…#Indigenomics,10 May 2024,2,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 May 2024Indigenomics SHE- “Beyond Resilience” creates a leadership forum for Indigenous women in business management, entrepreneurship and economic development.

Join us in Winnipeg! Early bird registration ends in 12 days!events.indigenomicsinstitute…#Indigenomics#WEKH#Winnipeg11","Carol Anne Hilton, MBA@Hesquiaht3 May 2024","Indigenomics SHE- “Beyond Resilience” creates a leadership forum for Indigenous women in business management, entrepreneurship and economic development.

Join us in Winnipeg! Early bird registration ends in 12 days!events.indigenomicsinstitute…#Indigenomics#WEKH#Winnipeg",3 May 2024,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 May 2024Call for Volunteers!

The Indigenomics Institute invites you to volunteer for Indigenomics Design on June 4th at the Dakota Dunes Resort in Saskatoon!

Contact events@indigenomics.com to get involved!#Indigenomics#EconomicReconciliation#Volunteeropportunity#Saskatoon11","Carol Anne Hilton, MBA@Hesquiaht1 May 2024","Call for Volunteers!

The Indigenomics Institute invites you to volunteer for Indigenomics Design on June 4th at the Dakota Dunes Resort in Saskatoon!

Contact events@indigenomics.com to get involved!#Indigenomics#EconomicReconciliation#Volunteeropportunity#Saskatoon",1 May 2024,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht30 Apr 2024The Indigenomics Institute invites you to join us this October at Indigenomics on Bay Street-  “THUNDERBIRD RISING: The Next Indigenous Economy”🦅.

Early bird registration:events.indigenomicsinstitute…#Indigenomics#Canpoli#Toronto#Economicreconciliation#Indigenouseconomy","Carol Anne Hilton, MBA@Hesquiaht30 Apr 2024","The Indigenomics Institute invites you to join us this October at Indigenomics on Bay Street-  “THUNDERBIRD RISING: The Next Indigenous Economy”🦅.

Early bird registration:events.indigenomicsinstitute…#Indigenomics#Canpoli#Toronto#Economicreconciliation#Indigenouseconomy",30 Apr 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht29 Apr 2024We're thrilled to welcome back Ashley Richard & Diane Roussin as our emcees for the Indigenomics SHE conference this September in Winnipeg!

Early Bird registration is open Until May 15. Do you have your tickets?events.indigenomicsinstitute…#Indigenomics#Winnipeg#Manitoba310","Carol Anne Hilton, MBA@Hesquiaht29 Apr 2024","We're thrilled to welcome back Ashley Richard & Diane Roussin as our emcees for the Indigenomics SHE conference this September in Winnipeg!

Early Bird registration is open Until May 15. Do you have your tickets?events.indigenomicsinstitute…#Indigenomics#Winnipeg#Manitoba",29 Apr 2024,310,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson28 Apr 2024Take a look at the revolutionary housing developments Canada's First Nations are building on ancestral landbusinessinsider.in/policy/ec…#Indigenomics,Don Richardson@Don_Richardson28 Apr 2024,Take a look at the revolutionary housing developments Canada's First Nations are building on ancestral landbusinessinsider.in/policy/ec…#Indigenomics,28 Apr 2024,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson27 Apr 2024Construction begins in 1st phase of Naawi-Oodena project - 
The barracks' former lands were repatriated by Treaty One First Nations in 2022. When complete, Naawi-Oodena will become Canada's largest urban Indigenous economic development zonecbc.ca/news/canada/manitoba/…#Indigenomics11",Don Richardson@Don_Richardson27 Apr 2024,"Construction begins in 1st phase of Naawi-Oodena project - 
The barracks' former lands were repatriated by Treaty One First Nations in 2022. When complete, Naawi-Oodena will become Canada's largest urban Indigenous economic development zonecbc.ca/news/canada/manitoba/…#Indigenomics",27 Apr 2024,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Apr 2024The Global Centre of Indigenomics is seeking Indigenous speakers from across the globe for the inaugural Indigenomics NOW Forum, taking place on November 14th, 2024.

Please complete this form to be considered as a speaker:lnkd.in/gbZYwiFD#Indigenomics#Indigenous1","Carol Anne Hilton, MBA@Hesquiaht26 Apr 2024","The Global Centre of Indigenomics is seeking Indigenous speakers from across the globe for the inaugural Indigenomics NOW Forum, taking place on November 14th, 2024.

Please complete this form to be considered as a speaker:lnkd.in/gbZYwiFD#Indigenomics#Indigenous",26 Apr 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht24 Apr 2024We're thrilled to welcome Tupaarnaq Kopeck  of Money Master-labs and Vicky auf der Mauer as our keynote speakers at the upcoming Indigenomics by Design Conference!

Have you registered yet? Last week for regular rate registration.events.indigenomicsinstitute…#Indigenomics1","Carol Anne Hilton, MBA@Hesquiaht24 Apr 2024","We're thrilled to welcome Tupaarnaq Kopeck  of Money Master-labs and Vicky auf der Mauer as our keynote speakers at the upcoming Indigenomics by Design Conference!

Have you registered yet? Last week for regular rate registration.events.indigenomicsinstitute…#Indigenomics",24 Apr 2024,1,,
