name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson6 Mar 2024Canada Infrastructure Bank@cib_enand First Nation Bank of Canada@FNBC_bankstrike $100-million loan deal to build projects fastertheglobeandmail.com/business…#Indigenomics2,Don Richardson@Don_Richardson6 Mar 2024,Canada Infrastructure Bank@cib_enand First Nation Bank of Canada@FNBC_bankstrike $100-million loan deal to build projects fastertheglobeandmail.com/business…#Indigenomics,6 Mar 2024,2,,
Tapuwae Roa,@tapuwaeroa,,"Tapuwae Roa@tapuwaeroa4 Mar 2024Late last year, we were honoured to be involved in the Te Waka Project, a digital storytelling campaign that shares kōrero on the indigenous economy. 

Watch the video:piped.video/watch?v=u8CQV4rR…#TeWakaProject#firstnations#indigenomics#pakihiMāori",Tapuwae Roa@tapuwaeroa4 Mar 2024,"Late last year, we were honoured to be involved in the Te Waka Project, a digital storytelling campaign that shares kōrero on the indigenous economy. 

Watch the video:piped.video/watch?v=u8CQV4rR…#TeWakaProject#firstnations#indigenomics#pakihiMāori",4 Mar 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 Mar 2024Indigenomics NOW serves as a powerful platform to translate this philosophy into action. November 14th ,2024. Registration opens soon.

Stay informed about our latest advancements, Subscribe:tr.ee/QBkuLfadVq#Indigenomics#Indigenousworldview#Indigenouseconomy11","Carol Anne Hilton, MBA@Hesquiaht1 Mar 2024","Indigenomics NOW serves as a powerful platform to translate this philosophy into action. November 14th ,2024. Registration opens soon.

Stay informed about our latest advancements, Subscribe:tr.ee/QBkuLfadVq#Indigenomics#Indigenousworldview#Indigenouseconomy",1 Mar 2024,11,,
Island Coastal Economic Trust,@ICET_BC,,"Island Coastal Economic Trust@ICET_BC1 Mar 2024Listening and learning the best practices of the nation [re]building with Dr Manly Begay.

""Strategic visions can sound like dreams, but their purpose is very concrete they give you a basis on which to consider choices.""@NEDC1984#thrivingnations#strongeconomy#indigenomics1",Island Coastal Economic Trust@ICET_BC1 Mar 2024,"Listening and learning the best practices of the nation [re]building with Dr Manly Begay.

""Strategic visions can sound like dreams, but their purpose is very concrete they give you a basis on which to consider choices.""@NEDC1984#thrivingnations#strongeconomy#indigenomics",1 Mar 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht27 Feb 2024Today, we shine a spotlight on Bayside Development Corporation, a 2023  Indigenomics#10TOWATCHrecipient who were recently celebrated at the Indigenomics BAY ST Conference.

Learn more at:indigenomicsinstitute.com/ba…#Indigenomics#Indigenousbusinesses#Indigenousprosperity","Carol Anne Hilton, MBA@Hesquiaht27 Feb 2024","Today, we shine a spotlight on Bayside Development Corporation, a 2023  Indigenomics#10TOWATCHrecipient who were recently celebrated at the Indigenomics BAY ST Conference.

Learn more at:indigenomicsinstitute.com/ba…#Indigenomics#Indigenousbusinesses#Indigenousprosperity",27 Feb 2024,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson27 Feb 2024First Nations need equity to help drive a cleaner Canadian economy - The federal government must be bold with a new policy to give Indigenous Peoples a stake in resource projects - via@IRPP@jp_gladupolicyoptions.irpp.org/magaz…#Indigenomics1,Don Richardson@Don_Richardson27 Feb 2024,First Nations need equity to help drive a cleaner Canadian economy - The federal government must be bold with a new policy to give Indigenous Peoples a stake in resource projects - via@IRPP@jp_gladupolicyoptions.irpp.org/magaz…#Indigenomics,27 Feb 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Feb 2024The Vancouver Island Economic Alliance is undertaking an innovative Indigenous business and economic data project with the Indigenomics Institute. 
 
Survey link-surveymonkey.com/r/QRCDQTQPlease email  info@indigenomics.com for  more information.#Indigenomics#VIEA111","Carol Anne Hilton, MBA@Hesquiaht26 Feb 2024","The Vancouver Island Economic Alliance is undertaking an innovative Indigenous business and economic data project with the Indigenomics Institute. 
 
Survey link-surveymonkey.com/r/QRCDQTQPlease email  info@indigenomics.com for  more information.#Indigenomics#VIEA",26 Feb 2024,111,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Feb 2024Stay connected with us on our social media channels@Indigenomicsand Subscribe to our newsletters:
- Indigenomics Institute:tr.ee/SVKdZdWv8A- Global Center of Indigenomics:tr.ee/QBkuLfadVq#Indigenomics#IndigenomicsConference#Winnipeg#cdnpoliEnable hls playback0","Carol Anne Hilton, MBA@Hesquiaht26 Feb 2024","Stay connected with us on our social media channels@Indigenomicsand Subscribe to our newsletters:
- Indigenomics Institute:tr.ee/SVKdZdWv8A- Global Center of Indigenomics:tr.ee/QBkuLfadVq#Indigenomics#IndigenomicsConference#Winnipeg#cdnpoli",26 Feb 2024,0,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson25 Feb 2024Manitoba: Churchill railway, port redevelopment will open new trade routes for shipping minerals, grain globally - owned and operated by Arctic Gateway Group — a partnership of dozens of First Nation and Bayline communitiescbc.ca/news/canada/manitoba/…#Indigenomics",Don Richardson@Don_Richardson25 Feb 2024,"Manitoba: Churchill railway, port redevelopment will open new trade routes for shipping minerals, grain globally - owned and operated by Arctic Gateway Group — a partnership of dozens of First Nation and Bayline communitiescbc.ca/news/canada/manitoba/…#Indigenomics",25 Feb 2024,,,
