name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson20 Jun 2022For this northern Saskatchewan First Nation, the future is Indigenous tourism - Waterhen Lake First Nation buys Waters Edge Eco Lodge, trains community members to workcbc.ca/news/canada/saskatche…#Indigenomics11",Don Richardson@Don_Richardson20 Jun 2022,"For this northern Saskatchewan First Nation, the future is Indigenous tourism - Waterhen Lake First Nation buys Waters Edge Eco Lodge, trains community members to workcbc.ca/news/canada/saskatche…#Indigenomics",20 Jun 2022,11,,
Sheila North - Bunibonibee Cree Nation,@TheSheilaNorth,,"Sheila North - Bunibonibee Cree Nation@TheSheilaNorth19 Jun 2022Some great reading on my treadmill earlier...seems like a great message on#FathersDaybut for all of us! Check it out, thanks@Hesquiahtfor#indigenomics3",Sheila North - Bunibonibee Cree Nation@TheSheilaNorth19 Jun 2022,"Some great reading on my treadmill earlier...seems like a great message on#FathersDaybut for all of us! Check it out, thanks@Hesquiahtfor#indigenomics",19 Jun 2022,3,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson18 Jun 2022The story of George Gordon First Nation’s history with Australia-based global commodities giant@bhpGroup, as BHP pivots toward ‘future-facing’ commodities with Saskatchewan potash project /via@globeandmailtheglobeandmail.com/business…#Indigenomics1",Don Richardson@Don_Richardson18 Jun 2022,"The story of George Gordon First Nation’s history with Australia-based global commodities giant@bhpGroup, as BHP pivots toward ‘future-facing’ commodities with Saskatchewan potash project /via@globeandmailtheglobeandmail.com/business…#Indigenomics",18 Jun 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht17 Jun 2022Call for speakers for the inaugural#IndigenomicsSHE event Nov 1/2nd Vancouver.docs.google.com/forms/d/e/1F…#indigenouseconomy#indigenousprosperity#indigenousentrepreneurship#bossbabes#100billion#indigenousentrepreneursPlease share!811","Carol Anne Hilton, MBA@Hesquiaht17 Jun 2022",Call for speakers for the inaugural#IndigenomicsSHE event Nov 1/2nd Vancouver.docs.google.com/forms/d/e/1F…#indigenouseconomy#indigenousprosperity#indigenousentrepreneurship#bossbabes#100billion#indigenousentrepreneursPlease share!,17 Jun 2022,811,,
DGW Law Corporation,@DGW_Law,,"DGW Law Corporation@DGW_Law17 Jun 2022At Quaaout Lodge & Spa you can stay, golf, dine, enjoy the spa or take part in one of their cultural or outdoor activities. 
More here:quaaoutlodge.com/#Indigenous#Indigenomics#IndigenousEntrepreneurs#supportIndigenous#reconciliation#reconciliACTION#NIHM#NIHM2022",DGW Law Corporation@DGW_Law17 Jun 2022,"At Quaaout Lodge & Spa you can stay, golf, dine, enjoy the spa or take part in one of their cultural or outdoor activities. 
More here:quaaoutlodge.com/#Indigenous#Indigenomics#IndigenousEntrepreneurs#supportIndigenous#reconciliation#reconciliACTION#NIHM#NIHM2022",17 Jun 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht17 Jun 2022Māori economy sees strong future,#indigenomics#100billion#indigenouseconomynzherald.co.nz/sponsored-sto…16","Carol Anne Hilton, MBA@Hesquiaht17 Jun 2022","Māori economy sees strong future,#indigenomics#100billion#indigenouseconomynzherald.co.nz/sponsored-sto…",17 Jun 2022,16,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson17 Jun 2022Ottawa considers changes that would open door to more lending for First Nations - looking to use financing raised on public markets to pay for replacing diesel power in remote communities
 /via@globeandmailtheglobeandmail.com/business…#Indigenomics44",Don Richardson@Don_Richardson17 Jun 2022,"Ottawa considers changes that would open door to more lending for First Nations - looking to use financing raised on public markets to pay for replacing diesel power in remote communities
 /via@globeandmailtheglobeandmail.com/business…#Indigenomics",17 Jun 2022,44,,
Indigenous Innovation Initiative,@Indiginnovate,,Indigenous Innovation Initiative@Indiginnovate16 Jun 2022Save the date for Indigenomics SHE! Registration will be opening soon!#indigenomicsindigenouseconomy,Indigenous Innovation Initiative@Indiginnovate16 Jun 2022,Save the date for Indigenomics SHE! Registration will be opening soon!#indigenomicsindigenouseconomy,16 Jun 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht15 Jun 2022Save the date for Indigenomics SHE! Registration will be opening shortly!#indigenomics#indigenouswomeninbusiness#indigenousentrepreneur#100billion3112","Carol Anne Hilton, MBA@Hesquiaht15 Jun 2022",Save the date for Indigenomics SHE! Registration will be opening shortly!#indigenomics#indigenouswomeninbusiness#indigenousentrepreneur#100billion,15 Jun 2022,3112,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht15 Jun 2022Kwanlin Dun First Nation to develop Northwestel's new HQ in Whitehorse#indigenomicsin action#indigenouseconomy#100billioncbc.ca/news/canada/north/kwa…3","Carol Anne Hilton, MBA@Hesquiaht15 Jun 2022",Kwanlin Dun First Nation to develop Northwestel's new HQ in Whitehorse#indigenomicsin action#indigenouseconomy#100billioncbc.ca/news/canada/north/kwa…,15 Jun 2022,3,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht14 Jun 2022The#IndigenomicsInstitute welcomes Angela Van Den Hout, founder of Seven Generations Business Consulting as an Economic Development Associate. We look forward to working with you!#indigenouseconomy#indigenousbusiness#indigenousprosperity2115","Carol Anne Hilton, MBA@Hesquiaht14 Jun 2022","The#IndigenomicsInstitute welcomes Angela Van Den Hout, founder of Seven Generations Business Consulting as an Economic Development Associate. We look forward to working with you!#indigenouseconomy#indigenousbusiness#indigenousprosperity",14 Jun 2022,2115,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson14 Jun 2022Kwanlin Dun First Nation to develop Northwestel's new HQ in Whitehorse - 3-storey, 41,000-square-foot building is Chu Níikwän Development Corporation's largest project to date#Indigenomicscbc.ca/amp/1.6487147#origin=…",Don Richardson@Don_Richardson14 Jun 2022,"Kwanlin Dun First Nation to develop Northwestel's new HQ in Whitehorse - 3-storey, 41,000-square-foot building is Chu Níikwän Development Corporation's largest project to date#Indigenomicscbc.ca/amp/1.6487147#origin=…",14 Jun 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht13 Jun 2022#indigenomicsin actionNch’ḵay̓ Development Corporation@nchkaycorp13 Jun 2022Our mission at Nch'ḵay̓ is to create business opportunities to create long-term wealth and prosperity for@SquamishNation.

Sen̓áḵw will not only bring Squamish People back to an original Sḵwx̱wú7mesh village, but it will create 6,000+ rental homes.#nchkay#senakw#bcbusiness3","Carol Anne Hilton, MBA@Hesquiaht13 Jun 2022",#indigenomicsin action,13 Jun 2022,3,,
Steven Siqueira,@siqx,,Steven Siqueira@siqx13 Jun 2022It's not rocket science- but this is how consultation for major projects should proceed to ensure indigenous participation....#PDAC2022#indigenomics,Steven Siqueira@siqx13 Jun 2022,It's not rocket science- but this is how consultation for major projects should proceed to ensure indigenous participation....#PDAC2022#indigenomics,13 Jun 2022,,,
CanFinTrade,@CanFinTrade,,"CanFinTrade@CanFinTrade13 Jun 2022About 50,000 Aboriginal-managed SMEs in 🇨🇦 ""The#IndigenousEconomyassessed at $32 Billion (2016) & predicted to balloon to $100B in 5yrs"" @ccab_national New online business course➡️bit.ly/3xoNgsDfor younger#entrepreneurs#Indigenomics@SquamishNation@nchkaycorp165",CanFinTrade@CanFinTrade13 Jun 2022,"About 50,000 Aboriginal-managed SMEs in 🇨🇦 ""The#IndigenousEconomyassessed at $32 Billion (2016) & predicted to balloon to $100B in 5yrs"" @ccab_national New online business course➡️bit.ly/3xoNgsDfor younger#entrepreneurs#Indigenomics@SquamishNation@nchkaycorp",13 Jun 2022,165,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson13 Jun 2022Edmonton, Calgary take steps to give land back to Indigenous communities - first of its kind in Canada, said Lewis Cardinal, project manager for kihciy askiy – and a “bold act of reconciliation.”#Indigenomicstheglobeandmail.com/canada/a…",Don Richardson@Don_Richardson13 Jun 2022,"Edmonton, Calgary take steps to give land back to Indigenous communities - first of its kind in Canada, said Lewis Cardinal, project manager for kihciy askiy – and a “bold act of reconciliation.”#Indigenomicstheglobeandmail.com/canada/a…",13 Jun 2022,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson13 Jun 2022An urban First Nation reclaims stewardship over vast rainforest on Metro Vancouver’s doorstep - The The Tsleil-Waututh Nation  2022 Integrated Stewardship Plan, covers 22,000 hectares of temperate rainforest just 30km northeast of Vancouver#Indigenomicstheglobeandmail.com/canada/b…",Don Richardson@Don_Richardson13 Jun 2022,"An urban First Nation reclaims stewardship over vast rainforest on Metro Vancouver’s doorstep - The The Tsleil-Waututh Nation  2022 Integrated Stewardship Plan, covers 22,000 hectares of temperate rainforest just 30km northeast of Vancouver#Indigenomicstheglobeandmail.com/canada/b…",13 Jun 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht9 Jun 2022#indigenomicsin action#indigenouseconomy#100billion#canecon#cdnbiz#indigenousbusinessThe Walrus@thewalrus9 Jun 2022Scenes from Canada’s first Indigenous-owned railway. More here from#TheWalrusArchive:thewalrus.ca/scenes-from-can…#NationalIndigenousHistoryMonth29","Carol Anne Hilton, MBA@Hesquiaht9 Jun 2022",#indigenomicsin action#indigenouseconomy#100billion#canecon#cdnbiz#indigenousbusiness,9 Jun 2022,29,,
