name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht8 Feb 2022#indigenomicsin actionAJ+@ajplus7 Feb 2022New Zealand's Māori Party called for a ""divorce"" from the British royal family and their removal as head of state.

The call came on the anniversary of a treaty that claimed crown protection of Māori land rights — which British colonizers broke, confiscating 90% of their land.12","Carol Anne Hilton, MBA@Hesquiaht8 Feb 2022",#indigenomicsin action,8 Feb 2022,12,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht7 Feb 2022#indigenomicsin action#bcpoli#bcecon#indigenouseconomyNikki Skuce@nikkiskuce7 Feb 2022Fabulous news! Thanks@GeorgeHeymanfor recognizing that protecting the unique Skeena wild sockeye#salmonpopulation and water quality outweighs any potential benefits from#miningin key habitat.#bcpoli#MorrisonMine@bc_eaoprojects.eao.gov.bc.ca/api/p…","Carol Anne Hilton, MBA@Hesquiaht7 Feb 2022",#indigenomicsin action#bcpoli#bcecon#indigenouseconomy,7 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht7 Feb 2022#indigenomicsin action#indigenouseconomy#100billionFSIN@fsinations7 Feb 2022","Carol Anne Hilton, MBA@Hesquiaht7 Feb 2022",#indigenomicsin action#indigenouseconomy#100billion,7 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht7 Feb 2022#indigenomicsTreaty Commissioner@TreatyOfficeSK7 Feb 2022Norway must stop violating Indigenous rights: Climate change action must not be used to encroach on Indigenous lands and destroy Indigenous livelihoods /via@AjEnglishaljazeera.com/opinions/2022/…","Carol Anne Hilton, MBA@Hesquiaht7 Feb 2022",#indigenomics,7 Feb 2022,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson7 Feb 2022First Nations-led Olympic bid moves forward — but will the IOC accept it? Olympics expert says planned bid for 2030 Games in B.C. raises questions about Indigenous rights#Indigenomicscbc.ca/news/canada/british-c…,Don Richardson@Don_Richardson7 Feb 2022,First Nations-led Olympic bid moves forward — but will the IOC accept it? Olympics expert says planned bid for 2030 Games in B.C. raises questions about Indigenous rights#Indigenomicscbc.ca/news/canada/british-c…,7 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht6 Feb 2022#indigenomicsChristian Wolf@whitespacewolf5 Feb 2022""Our current economic systems may not be anchored so far back in the past as our political systems but they still reflect values and assumptions that are out of date."" 
It's Time For Politics To Grow Up, Dorian Furlonger12","Carol Anne Hilton, MBA@Hesquiaht6 Feb 2022",#indigenomics,6 Feb 2022,12,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson6 Feb 2022#IndigenousLedProjectsfor mobilizing#CleanEnergySolutions in Ontario - says new report from the Ontario Chamber of Commerce@OntarioCofC#IndigenomicsOntario Chamber@OntarioCofC5 Feb 2022Government and the private sector must work together to invest in low-carbon energy pathways. 

Read our recommendations to the government in our recent report:bit.ly/3FwDnLH#ClimateAction11",Don Richardson@Don_Richardson6 Feb 2022,#IndigenousLedProjectsfor mobilizing#CleanEnergySolutions in Ontario - says new report from the Ontario Chamber of Commerce@OntarioCofC#Indigenomics,6 Feb 2022,11,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson5 Feb 2022First Nations are buying land to create urban reserves -@cbcradio. Urban reserves are lands purchased by a First Nation, either in a major metropolis or in smaller communities to expand their reach and strengthen self-sufficiency#Indigenomicscbc.ca/radio/first-nations-u…11",Don Richardson@Don_Richardson5 Feb 2022,"First Nations are buying land to create urban reserves -@cbcradio. Urban reserves are lands purchased by a First Nation, either in a major metropolis or in smaller communities to expand their reach and strengthen self-sufficiency#Indigenomicscbc.ca/radio/first-nations-u…",5 Feb 2022,11,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson5 Feb 2022Bearspaw First Nation acquires Clearwave Broadband - Clearwave provides high speed internet service to homes and businesses throughout the Alberta capital region. Bearspaw already owns and operates Stoney Nakoda Telcomalbertaprimetimes.com/edmont…#Indigenomics12,Don Richardson@Don_Richardson5 Feb 2022,Bearspaw First Nation acquires Clearwave Broadband - Clearwave provides high speed internet service to homes and businesses throughout the Alberta capital region. Bearspaw already owns and operates Stoney Nakoda Telcomalbertaprimetimes.com/edmont…#Indigenomics,5 Feb 2022,12,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson4 Feb 2022First Nation Capital Investment Partnership Teams Up With Enbridge to Advance CO2 Storage Solutions - Indigenous communities in Alberta to have ownership stake in future carbon transportation and storage projects#Indigenomicsfinance.yahoo.com/news/first…,Don Richardson@Don_Richardson4 Feb 2022,First Nation Capital Investment Partnership Teams Up With Enbridge to Advance CO2 Storage Solutions - Indigenous communities in Alberta to have ownership stake in future carbon transportation and storage projects#Indigenomicsfinance.yahoo.com/news/first…,4 Feb 2022,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson4 Feb 2022Biigtigong Nishnaabeg First Nation takes on business ventures - moves beyond its traditional base of hydro development to become future mining service provider, port authority operator, and more on the north shore of Lake Superiorchroniclejournal.com/news/lo…#Indigenomics",Don Richardson@Don_Richardson4 Feb 2022,"Biigtigong Nishnaabeg First Nation takes on business ventures - moves beyond its traditional base of hydro development to become future mining service provider, port authority operator, and more on the north shore of Lake Superiorchroniclejournal.com/news/lo…#Indigenomics",4 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 Feb 2022#indigenomicsin action#indigenouseconomy#100billionChief Billy Morin@billymorinECN3 Feb 2022This is Not just token Indigenous Economic Inclusion; Enbridge has partnered with us for up to 1/2 ownership of the proposed Wabamun Carbon Capture Hub. From the start we are at the table, instead of the back-end of a development that can double Alberta’s Carbon storage capacity.4","Carol Anne Hilton, MBA@Hesquiaht3 Feb 2022",#indigenomicsin action#indigenouseconomy#100billion,3 Feb 2022,4,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 Feb 2022'The Business Case for the $100 Billion Dollar Indigenous Economy' - keynote at the#IndigenomicsDesign Conference. Register atindigenomicsinstitute.com#indigenouseconomy#100billion#canecon#bcecon#bcpoli#cdnpoli#indianacteconomicsDM to be added to event mailing list16110","Carol Anne Hilton, MBA@Hesquiaht3 Feb 2022",'The Business Case for the $100 Billion Dollar Indigenous Economy' - keynote at the#IndigenomicsDesign Conference. Register atindigenomicsinstitute.com#indigenouseconomy#100billion#canecon#bcecon#bcpoli#cdnpoli#indianacteconomicsDM to be added to event mailing list,3 Feb 2022,16110,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 Feb 2022#indigenomicsKawsachun News@KawsachunNews3 Feb 2022Replying to@KawsachunNewsLatin American countries will experience major economic problems if they don't take state control over natural resources.Enable hls playback11","Carol Anne Hilton, MBA@Hesquiaht3 Feb 2022",#indigenomics,3 Feb 2022,11,,
