title,URL,description,success,user_agent,date
"#indigenomics #indigenouseconomy | Carol Anne Hilton, MBA, ICD.D",https://www.linkedin.com/posts/carol-anne-hilton-mba-icd-d-b4416029_indigenomics-indigenouseconomy-activity-7313690271609671682-TrM7,#indigenomics in action #indigenouseconomy,True,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",Unknown
#indigenomics #economicreconciliation #telus #indigenouseconomy #ai… | Indigenomics,https://www.linkedin.com/posts/indigenomics-institute_indigenomics-economicreconciliation-telus-activity-7257090594643091456-CPGN,"We are deeply grateful to TELUS for their ongoing commitment as our Platinum Multi-Year Events Partner, and for their participation in Indigenomics by DESIGN, SHE, BAY STREET, and the National Indigenomics AI Generative Study this year! Their contributions have been outstanding, and we appreciate how they continue to collaborate and play Indigenomics with us! 

TELUS engaged in various ways this year—as speakers, vendors, advisors, and hosts. At Indigenomics SHE, Kara Moss, Clinical Supervisor at TELUS Health, shared her insights on the Indigenous Women Leading in Corporate Reconciliation panel. At Indigenomics on BAY STREET, Jesslyn Dymond, Director of AI Governance &amp; Data Ethics, contributed to the panel on AI and the Next Indigenous Economy, while also serving as an advisor on the National Indigenomics AI Generative Study. On Innovation Day, TELUS hosted an Indigenous Placekeeping Tour at TELUS Harbour, showcasing how culturally responsive experiences can be integrated into corporate spaces. Additionally, Amanda Lee, Emily Piccinin, Leila Ashurov, Chloe Santiago, Neil Conti, and Denis Lacasse engaged with conference attendees at DESIGN, SHE, and BAY STREET at the TELUS booth. 

We also want to extend our thanks to the TELUS team members we work with, including Kristen Sandhu, Stephanie Han, Yoelit Lipinsky, PhD, Christy Morgan and Marissa Nobauer —we appreciate you! 

We deeply value TELUS&#39;s commitment to playing #Indigenomics and walking with us in advancing economic reconciliation. 

Learn more about this Indigenomics 10 to Watch List company here: https://lnkd.in/gUFSctMY 

#EconomicReconciliation #TELUS #IndigenousEconomy #AI #CorporateReconciliation",True,Mozilla/5.0 (X11; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0,Unknown
#stolocommunityfutures #stolobiz #indigenomics #communityfuturesbc… | Stó:lō Community Futures,https://www.linkedin.com/posts/stolo-community-futures_stolocommunityfutures-stolobiz-indigenomics-activity-6939626738071089152-1HjE?trk=public_profile_like_view,"Aaron Pete, BA, JD is the creator and host of the Bigger Than Me Podcast, where he interviews leaders from across British Columbia. Mr. Pete recently completed law school at Peter A. Allard School of Law at UBC, where he was particularly interested in First Nations legal traditions, business organizations, taxation and economic development. He is also a social media manager for Alpine Legal Services and he sits on the Chilliwack Cultural Centre&#39;s Board of Directors.

If you are an Indigenous entrepreneur located in Hope, Agassiz, Kent, Harrison, and Deroche, please contact Aaron at 604-378-7383 or at apete@northfraser.org

#stolocommunityfutures #stolobiz #indigenomics #communityfuturesbc #stolomeansbusiness #didyouknowscf",True,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unknown
#trades #apprenticeship #indigenomics #yourticket #itabc | Paulette Higgins,https://www.linkedin.com/posts/paulette-higgins-62170582_trades-apprenticeship-indigenomics-activity-6590810227006939136-ceUi,"Thank you, Indigenous Business Awards and Carolina Hilton, MBA, for shining the spotlight on the importance of trades and apprenticeship in economic development, and for recognizing the Industry Training Authority (ITA).  Apprenticeship’s truly the future of sustainable businesses — true indigenomics!

#trades #apprenticeship #indigenomics #yourticket #itabc 

With Michael Cameron, Jacob McKay, Cara Lenoir, Kyle Kozak",True,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0,Unknown
#indigenousbusiness #indigenousentrepreneur #indigpreneur… | Indigpreneur Empowering Indigenous Entrepreneurs,https://www.linkedin.com/posts/indigpreneur_indigenousbusiness-indigenousentrepreneur-activity-7294502348863782913-5r17,"Connect with Me – Let’s Build Together!

Are you an Indigenous entrepreneur looking for support, mentorship, or collaboration? Indigpreneur is all about empowering our people through business, innovation, and community.

I’m opening up 1-on-1 meeting slots to connect with Indigenous entrepreneurs, creators, and business leaders who want to:
✅ Get guidance on starting or growing a business.
✅ Discuss funding, marketing, or digital tools.
✅ Explore collaboration opportunities.
✅ Share your vision and see how we can work together.

Whether you’re just starting out or scaling up, I’d love to hear your story and see how we can support each other on this journey.

👉 Book a meeting with me here: https://lnkd.in/gQmu-McN

JOIN INDIGPRENEUR: indig.club

Let’s connect and build something powerful for our people!

#IndigenousBusiness #IndigenousEntrepreneur #Indigpreneur #IndigenousEconomy #Entrepreneurship #Networking #BookAMeeting",True,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0,Unknown
#indigenomics #tokenomics #blockchain #course | Nationsfirst,https://www.linkedin.com/posts/nationsfirst_indigenomics-tokenomics-blockchain-activity-7285045557339803650-3jMa,"We partnered with Sarabloh Technologies LTD. by committing to empowering Indigenous leadership for tomorrow by fostering opportunities in the new digital economy. We believe in equipping individuals with the skills, tools, and innovative tokenomics frameworks needed to lead and shape the technologies of the future, ensuring Indigenous voices are at the forefront of innovation.

Tokenomics represents an opportunity to align traditional Indigenous values, such as reciprocity, sustainability, and community governance, with technology. By leveraging blockchain and decentralized systems, Indigenous communities can create equitable economic models that prioritize long-term prosperity, self-determination, and resource stewardship.

Through our AI, blockchain, and tokenomics training, we’re addressing historical gaps by providing meaningful pathways for growth, agency, and creativity. This initiative goes beyond education, it’s about cultivating leaders who can bridge the gap between tradition and technology, driving progress while uplifting Indigenous values and principles.

Together, we are shaping and cultivating a future where Indigenous communities lead with confidence, vision, and impact. 

Special Opportunity for Indigenous Participants:
This course is offered completely FREE for Indigenous participants.

Space is Limited! To ensure a quality learning experience, we are limiting the number of registrations. If interest exceeds our capacity, short interviews will be conducted to select participants who best align with our vision for the program.

Learn more and register: https://lnkd.in/dEvnu6AS

#Indigenomics #Tokenomics #Blockchain #Course",True,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",Unknown
#bdc #bdccapital #nacca #indigenousprosperity #indigenousentrepreneurs… | Miguel Barrieras,https://www.linkedin.com/posts/miguel-barrieras_bdc-bdccapital-nacca-activity-7297234934191017984-jhZ7,"BDC is delighted to be the Platinum |Sponsor of NACCA&#39;s Indigenous Prosperity Forum in May 2025.  I look forward to join Shannin Metatawabin ICD.D and the leadership team at NACCA to meet inspiring Indigenous Entrepreneurs and all leaders contributing to the economic reconciliation in our Country.

Adil Hassam Léa Guez Fatiha Senhaji  (PL.Fin) Wade L. Kerr Kyle Amonson Nicholas Moss Thierry Limoges Laura Miller Maude Pariseau,  LL.B, MBA Annie Cvesper Dani Law Sandra Odendahl Genevieve Bouthillier Paula Cruickshank Lily Lam, MBA, MSc Gerry Huebner Frank Richter Sarah MacNeil Erin Stehelin CPA,CMA CFP  CAFM Kimberly Gorgichuk, CSM Magnolia Perron

#BDC #BDCCapital #NACCA #IndigenousProsperity #IndigenousEntrepreneurs #EconomicReconciliation #IGF #IndigenousGrowthFund",True,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",Unknown
#indigenousbusiness #supplierdiversity #csr | Dwayne Good | 17 comments,https://www.linkedin.com/posts/dwayne-good-2a9a721b_indigenousbusiness-supplierdiversity-csr-activity-7305740595199651840-byPN,"🚨 Is Indigenous Procurement in Australia Facing a Forced Reset?

🌏 With diversity &amp; inclusion policies being wound back in the U.S., ripple effects are reaching Australia. As we approach a potential change in Government, what would this mean for supplier diversity and the Indigenous business sector?

📉 If Indigenous procurement initiatives are scaled back, will Government agencies &amp; corporations reduce their engagement with Indigenous businesses? And if so, is this good or bad?

📈 Over the past five years, Indigenous businesses have grown at an unprecedented rate— some genuinely Indigenous owned and others not so much. Likewise, more organisations are publicly committing to Indigenous procurement—ranging from those with genuine engagement to others merely fulfilling a checkbox requirement✅ 

🔄 A Reset is Overdue—regardless of who is in charge or what policies are in place.

⚖️ If supplier diversity loses traction, companies may no longer feel obligated to meet arbitrary spending targets. This could shift the focus from quantity to quality—where Indigenous businesses are valued for their capabilities, innovation &amp; problem-solving skills, not just their ownership status.

✅ Being Indigenous-owned is a powerful differentiator, but it should not be the only one. Long-term success comes from delivering real value, building credibility, &amp; solving genuine business challenges.

🤝 I don’t want to see supplier diversity disappear—I’ve built meaningful business relationships through existing frameworks. But I do believe the Indigenous business sector is ready for a shakeup—one that ensures credibility, impact &amp; long-term sustainability.

What do you think needs to happen?

#indigenousbusiness  #supplierdiversity #csr | 17 comments on LinkedIn",True,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,Unknown
#indigenous #indigenousbusiness #supportindigenous | Bobbie Racette,https://www.linkedin.com/posts/bobbiejoracette_indigenous-indigenousbusiness-supportindigenous-activity-7292599177291649026-Dd_c,"Thank you, Indigenous SME Business Magazine and UPS, for amplifying #Indigenous voices!

If you haven&#39;t checked out Indigenous SME Business Magazine yet and want to support Indigenous businesses, I highly recommend getting a copy. It’s an incredible way to discover and celebrate the many amazing Indigenous entrepreneurs across Canada.

https://lnkd.in/gzU69XpD

#IndigenousBusiness #SupportIndigenous",True,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0,Unknown
#indigenousprosperity #economicempowerment #togetherforchange | Abdullah Snobar | 13 comments,https://www.linkedin.com/posts/abdullahsnobar_indigenousprosperity-economicempowerment-activity-7166174150716293123-s1kW,"Driving impact for underserved entrepreneurs runs deep at DMZ, and I’m beyond excited to share I’m joining the Board of Directors for the Indigenous Prosperity Foundation. 

I’ve seen firsthand the impact entrepreneurship holds for underserved communities, and equipping diverse founders with the skills and training to succeed is on all of us. 

Created by NACCA as an independent charitable organization, the Indigenous Prosperity Foundation is dedicated to creating a thriving and inclusive Indigenous economy, offering training, mentorship, digital access and funding to underserved Indigenous entrepreneurs across Canada.

I am deeply honoured to play a role in this journey towards a future where Indigenous prosperity thrives. 

For those who resonate with our vision, don’t hesitate to reach out and explore how you can contribute.

Read more: https://bit.ly/3OQG95G

#IndigenousProsperity #EconomicEmpowerment #TogetherForChange
 | 13 comments on LinkedIn",True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Edg/91.0.864.59",Unknown
#indigenomics #indigenomicsimpact #economicreconciliation… | Indigenomics,https://www.linkedin.com/posts/indigenomics-institute_indigenomics-indigenomicsimpact-economicreconciliation-activity-7300583239188918273-FSDh,"The Indigenomics Impact Agenda is LIVE! 

Get ready for two days of powerful conversations, leadership, and action driving the future of the Indigenous economy. Hear from Carol Anne Hilton on Building Generational IMPACT Today and Mindy Wright, Nch’kay CEO, on Indigenous economic leadership. Engage with corporate reconciliation strategies, Indigenous AI innovation, and the Pow Wow Pitch story of entrepreneurship and more!

📅 Check out the full agenda and plan your experience!
https://lnkd.in/gcwmWfyV

Tag your network, spread the word, and be part of this transformative event. Who wants to play Indigenomics?

#Indigenomics #IndigenomicsImpact #EconomicReconciliation #IndigenousBusiness #100BillionIndigenousEconomy #IndigenousEntrepreneurs #WhoWantsToPlayIndigenomics",True,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",Unknown
#landback #macklemore #landback #landbackftp #defenddevelopdecolonize… | NDN Collective,https://www.linkedin.com/posts/ndncollective_landback-macklemore-landback-activity-7193769200669110272-YeHg,"In this episode of LANDBACK For The People Podcast, @macklemore discusses what #LANDBACK means to him, and how crucial it is to acknowledge and support the movement. 

⚡Watch and Listen to the Latest Full Episode NOW:
• YouTube: ndnco.cc/LBFTPyt
• Spotify: ndnco.cc/LBFTPs
• Apple Podcast: ndnco.cc/LPFTPa
• Audible: ndnco.cc/LBFTPad

⚡️Don’t forget to subscribe, like, and leave a review! 

🔗Links in our bio under ‘LANDBACK FTP Podcast’
#Macklemore #LANDBACK #LANDBACKFTP #DefendDevelopDecolonize #NDNCollective #FreePalestine",True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Unknown
Indigenous people involvement in business on the rise says author - APTN… | Saskatchewan Indigenous Economic Development Network (SIEDN),https://www.linkedin.com/posts/saskatchewan-indigenous-economic-development-network-siedn_indigenous-people-involvement-in-business-activity-7267555167326089217-3vhr,"📈 A Tidal Wave of Indigenous Entrepreneurship: Insights from Carol Anne Hilton 🌊

Carol Anne Hilton, founder of the Indigenomics Institute, sees a &quot;tidal wave&quot; of Indigenous business growth driven by increased access to capital and improved internet in rural areas. Indigenous women, in particular, are leading the way, starting businesses at five times the national rate and securing roles on corporate boards. Hilton, an award-winning leader from the Nuu chah nulth Nation, sees this growth as a step toward economic reconciliation.

According to Hilton, the rise in Indigenous entrepreneurship is also due to a changing mindset in Canada’s banking sector. As Indigenous leaders now hold positions on the boards of major financial institutions, new doors are opening for Indigenous business ventures.

Hilton’s book, Indigenomics: Taking a Seat at the Economic Table, aims to ignite a $100 billion Indigenous economy. This November, the Indigenomics Institute will host a 24-hour Indigenous global economic forum, spotlighting 36 speakers to discuss the future of Indigenous business.

🌍 &quot;We’re building an ecosystem of successful Indigenous business leaders, providing stories and support to inspire others.&quot; – Carol Anne Hilton

#IndigenousEconomy #Indigenomics #IndigenousEntrepreneurs #EconomicReconciliation #BusinessGrowth

https://loom.ly/fcm44aI",True,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0,Unknown
#indigenousprosperity | NACCA,https://www.linkedin.com/posts/naccainfo_indigenousprosperity-activity-7182820738708467712-c146,Indigenous women entrepreneurs deserve the same opportunities as all other women.  Ask your local government how they are supporting Indigenous women entrepreneurs.  🎨🌟 #IndigenousProsperity,True,Mozilla/5.0 (X11; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0,Unknown
#indigenomicsimpact #economicreconciliation #indigenouseconomy… | Indigenomics,https://www.linkedin.com/posts/indigenomics-institute_indigenomicsimpact-economicreconciliation-activity-7305729920087769088-lhLA,"Indigenomics IMPACT 2025 – Indigenous Economic Growth in Action
The Indigenous economy is rising, thriving, and driving real change across industries. At Indigenomics IMPACT 2025, we are bringing together the leaders who are shaping this transformation.
Our speakers are activating economic reconciliation, advancing Indigenous business, and designing innovative solutions for long-term prosperity. This is where Indigenous economic power is taking shape.

April 8-9, 2025
H.R. MacMillan Space Centre Vancouver, BC
Only 13 days left to register! Register now &amp; take part in this conversation: https://lnkd.in/gus6wSvB

Meet the leaders making an impact:
Justin Holness – Artist, Entrepreneur, &amp; Wealth Coach, @Ohidiga Wealth Alliance 
Carol Anne Hilton, MBA, ICD.D  – CEO, Indigenomics Institute 
Mindy Wight, CPA, CA, CAFM, ICD.D  – CEO, @Nch’ḵay̓ Development Corporation
Merle Alexander, K.C. - Indigenous Resource Lawyer  – Principal Lawyer, Miller Titerle + Company Law Corporation 
Eli Enns – Co-Founder &amp; CEO, IISAAK OLAM Foundation 
Patricia Sayer, CPA – Director, Economic Development, Coast Funds
Tanya Tourangeau – Reconciliation Strategist, @Tanya T Consulting 
Beth Pachkowski – Senior Manager, Truth &amp; Reconciliation, Scotiabank 
Catherine Pennington – Director, Indigenous Advisory Services, KPMG Canada LLP 
Michelle Bryant-Gravelle – Senior Director, Indigenous Relations, City of Vancouver
Edgard V.  – CEO, Turtle Island Connection 
Keith Henry – President &amp; CEO, Indigenous Tourism Association of Canada (ITAC) 
Kristen Sandhu – Indigenous Reconciliation and Connectivity, TELUS
Michelle Laviolette – Director, Indigenous Banking Strategy, Vancity 
Todd den Engelsen MBA   FCPHR (Fellowship)- CEO Tahltan Nation Development Corporation (TNDC) Nation Development Corporation
Daphne Kay – Senior Policy Analyst, Assembly of First Nations 
Deanna Lewis- KC-Kalkalilh Communications Cultural and Gender Safety Awareness
This event is about action. Indigenous-led businesses, legal experts, corporate reconciliation strategists, and community leaders are shaping the next chapter of economic growth.

We are proud to be supported by our sponsors:
Alliance Trust Company, Calgary, Canada, Vancity, TELUS, Scotiabank, Earnscliffe Strategies, FortisBC, BMO, RBC
And our partners:
H.R. MacMillan Space Centre, Museum of Vancouver, 

Share this announcement with your network.
Tag someone who needs to be in this space.
Comment below—what areas of Indigenous economic impact excite you most?

The Indigenous economy is here. Let’s build it together.
#IndigenomicsIMPACT #EconomicReconciliation #IndigenousEconomy #IndigenousLeadership #WhoWantsToPlayIndigenomics #indigenomics #YVR #indigenousbusiness #IndianActEconomics #BCecon #cdnEcon #canecon",True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Unknown
